Title,Address,City,State,Country
The French Connection,Château d'If, Marseille, Bouches-du-Rhône, France
The French Connection,Le Copain 891 1st Ave, New York City, New York, USA
The French Connection,Brooklyn Bridge, New York City, New York, USA
The French Connection,"86th Street,  Brooklyn", New York City, New York, USA
The French Connection,"Roosevelt Hotel - 45th Street & Madison Avenue,  Manhattan", New York City, New York, USA
The French Connection,"Westbury Hotel - 15 East 69th Street,  Manhattan", New York City, New York, USA
The French Connection,Rue du Vallon des Auffes, Marseille, Bouches-du-Rhône, France
The French Connection,Chez Fonfon - 140 Rue du Vallon des Auffes, Marseille, Bouches-du-Rhône, France
The French Connection,La samaritaine - 2 Quai du Vieux-Port, Marseille, Bouches-du-Rhône, France
The French Connection,Quai du Vieux Port, Marseille, Bouches-du-Rhône, France
The French Connection,Montée des Accoules, Marseille, Bouches-du-Rhône, France
The French Connection,Rue Baussenque, Marseille, Bouches-du-Rhône, France
The French Connection,Rue du Panier, Marseille, Bouches-du-Rhône, France
The French Connection,"91 Wyckoff Avenue,  Bushwick,  Brooklyn", New York City, New York, USA
The French Connection,"Forest Avenue,  Ridgewood,  Queens", New York City, New York, USA
The French Connection,"Grand Central Station Shuttle,  Manhattan", New York City, New York, USA
The French Connection,"Onderdonk Avenue,  Ridgewood,  Queens", New York City, New York, USA
The French Connection,Plage du bestouan, Cassis, Bouches-du-Rhône, France
The French Connection,"Putnam Avenue,  Ridgewood,  Queens", New York City, New York, USA
The French Connection,"Randall's Island,  East River", New York City, New York, USA
The French Connection,,Washington, District of Columbia, USA
Patton,Cabo de Gata, Almería, Andalucía, Spain
Patton,"Bob Hope Patriotic Hall - 1816 S. Figueroa Street,  Downtown", Los Angeles, California, USA
Patton,,,,Italy
Patton,Over Peover, Knutsford, Cheshire, UK
