Forrest Gump	Monument Valley		 Arizona	 USA
Schindler's List	Auschwitz-Birkenau Concentration Camp	 Oswiecim	 Malopolskie	 Poland
Schindler's List	Plaszów	 Kraków	 Malopolskie	 Poland
Schindler's List	Szeroka	 Kraków	 Malopolskie	 Poland
Schindler's List	Józefa	 Kraków	 Malopolskie	 Poland
Schindler's List	Most Pilsudskiego	 Kraków	 Malopolskie	 Poland
Schindler's List		Jerusalem		 Israel
Unforgiven		Brooks	 Alberta	 Canada
Unforgiven		Longview	 Alberta	 Canada
Unforgiven		Drumheller	 Alberta	 Canada
Unforgiven		High River	 Alberta	 Canada
Unforgiven	Red Hills Ranch	 Sonora	 California	 USA
Unforgiven		Calgary	 Alberta	 Canada
The Silence of the Lambs		Pittsburgh	 Pennsylvania	 USA
The Silence of the Lambs	Western Center - 333 Curry Hill Rd.	 Canonsburg	 Pennsylvania	 USA
The Silence of the Lambs		Clay County	 West Virginia	 USA
The Silence of the Lambs		Bellaire	 Ohio	 USA
The Silence of the Lambs	Bimini Airport	 South Bimini Island	 Bimini Islands	 Bahamas
The Silence of the Lambs	Carnegie Museum of Natural History - 4400 Forbes Avenue	 Pittsburgh	 Pennsylvania	 USA
The Silence of the Lambs	Front St	 Glenwillard	 Pennsylvania	 USA
The Silence of the Lambs	Lindbergh Avenue	 Shaler Township	 Pennsylvania	 USA
The Silence of the Lambs		McKeesport	 Pennsylvania	 USA
The Silence of the Lambs		Memphis	 Tennessee	 USA
The Silence of the Lambs		Washington	 District of Columbia	 USA
The Silence of the Lambs	8 Circle Street	 Perryopolis	 Pennsylvania	 USA
The Silence of the Lambs	Department of Labor Frances Perkins Building - 200 Constitution Avenue NW	 Washington	 District of Columbia	 USA
The Silence of the Lambs	E 8th Ave & Amity St	 Homestead	 Pennsylvania	 USA
The Silence of the Lambs	FBI Academy	 Quantico	 Virginia	 USA
The Silence of the Lambs	Lambert International Airport - 10701 Lambert International Boulevard	 St. Louis	 Missouri	 USA
The Silence of the Lambs		Layton	 Pennsylvania	 USA
The Silence of the Lambs	Main Street West	 Rural Valley	 Pennsylvania	 USA
The Silence of the Lambs	Old Allegheny County Jail - 5th Ave & Ross Street	 Pittsburgh	 Pennsylvania	 USA
The Silence of the Lambs	Soldiers and Sailors Museum and Memorial - 4141 Fifth Avenue	 Pittsburgh	 Pennsylvania	 USA
Dances with Wolves	Badlands National Park	 Interior	 South Dakota	 USA
Dances with Wolves	Jackson Hole		 Wyoming	 USA
Dances with Wolves	Sage Creek Wilderness Area  Badlands National Park	 Interior	 South Dakota	 USA
Dances with Wolves	Triple U Standing Butte Ranch - 26314 Tatanka Road	 Fort Pierre	 South Dakota	 USA
Dances with Wolves		Belle Fourche River	 South Dakota	 USA
Dances with Wolves		Black Hills	 South Dakota	 USA
Dances with Wolves		Jackson	 Wyoming	 USA
Dances with Wolves		Rapid City	 South Dakota	 USA
Dances with Wolves	Spearfish Canyon	 Black Hills	 South Dakota	 USA
Dances with Wolves		Interior	 South Dakota	 USA
Dances with Wolves		Pierre	 South Dakota	 USA
Dances with Wolves	Tomahawk Drive	 Fort Hays	 Kansas	 USA
Dances with Wolves			Nebraska	 USA
Dances with Wolves		Fort Pierre	 South Dakota	 USA
Driving Miss Daisy	822 Lullwater Road  Druid Hills	 Atlanta	 Georgia	 USA
Driving Miss Daisy	Fulton Supply Company	 Atlanta	 Georgia	 USA
Driving Miss Daisy	The Temple - 1589 Peachtree Street NE	 Atlanta	 Georgia	 USA
Driving Miss Daisy	Sevananda Natural Foods Grocery  1111 Euclid Ave. NE	 Atlanta	 Georgia	 USA
Driving Miss Daisy	Agnes Scott College - 141 E. College Avenue	 Decatur	 Georgia	 USA
